entity1,entity2,relation,incident_ids
ACFT,IT,coreference,19990213001379A
TAKEOFF,CLIMB,FOLLOWED BY,20070630826079I
TAKEOFF,2500 FT SOD STRIP,LOCATION,19920405008919A
TAKEOFF,BETHEL AIRPORT,LOCATION,19950216008379I
WING FUEL TANK SUMPS,THEY,coreference,19800217031649I
HELICOPTER,HELIPAD,LOCATION,20010411006739I
SLING LOAD,LOAD,coreference,19790720021329A
SLING LOAD,HELICOPTER,USED BY,19790720021329A
BRAKES,CART,PART OF,19781108022239I
AIRCRAFT,RAY AIRPORT,LOCATION,20070630826079I
FORCED LANDING,ENGINE FAILURE,FOLLOWS,19840821046409A
FORCED LANDING,PILOT ERROR,HAS CAUSE,19871027060859A
FORCED LANDING,POWER LOSS,FOLLOWS,19780509032859I
PILOT,PILOTS,coreference,19930530020029I
PILOT,PILOT,coreference,"19780111000459A, 20010421009329I"
LOWER ALTITUDE,ICING,HAS CAUSE,19850315007389A
ICING,LOWER ALTITUDE,HAS EFFECT,19850315007389A
CLIMB,PROBLEMS,FOLLOWED BY,20070630826079I
PROBLEMS,ENGINE,PART OF,20070630826079I
FUEL CAP,RIGHT TANK,PART OF,19901101064289I
LOOSE COWLING,COWLING,coreference,19820725041999I
LOOSE COWLING,TAKEOFF,PART OF,19820725041999I
LOOSE COWLING,CRACKED WINDSHIELD,HAS EFFECT,19820725041999I
LOOSE COWLING,DENTED STABILIZER,HAS EFFECT,19820725041999I
LAND,HIGHWAY 93,LOCATION,19980620030289I
CRACKED WINDSHIELD,LOOSE COWLING,HAS CAUSE,19820725041999I
CRACKED WINDSHIELD,ANTENNA,HAS CAUSE,19940815046149I
DENTED STABILIZER,LOOSE COWLING,HAS CAUSE,19820725041999I
OIL,ENGINE,PART OF,20030620012809I
ANTENNA,CRACKED WINDSHIELD,HAS EFFECT,19940815046149I
ENGINE OVERHEAT,AIR INTAKE PLUGS,HAS CAUSE,19860530030499A
ENGINE OVERHEAT,HOT OIL SMELL,HAS EFFECT,19860530030499A
HOT OIL SMELL,ENGINE OVERHEAT,HAS CAUSE,19860530030499A
AIR INTAKE PLUGS,ENGINE OVERHEAT,HAS EFFECT,19860530030499A
FLIGHT,487 STATUTE MILES,EVENT DISTANCE,20070202001609A
GEAR,AIRCRAFT,PART OF,19960322013629I
NOSE BLOCK,AIRCRAFT,PART OF,19960322013629I
TRAILER TIE DOWN,SKID,PART OF,19960504009509A
ENGINE POWER FAILURE,FUEL TANKS,HAS CAUSE,19850418016709I
FUEL TANKS,ENGINE POWER FAILURE,HAS EFFECT,19850418016709I
ONE MAG,MAG SWITCH,INSTANCE OF,19870606018859A
VIBRATION,ROTOR BLADE,HAS CAUSE,20050504010229A
APU DOOR,SIKORSKY S-70A,PART OF,20050504010229A
CARGO DOOR,MR. BOWEN,MAINTAINED BY,19970523014439I
SKIDS,RAMP PERSON,MAINTAINED BY,19970908038069A
BAGGAGE CART,CART,coreference,19781108022239I
FLAT NOSE STRUT,IT,coreference,19801230089799I
FLAT NOSE STRUT,AIRPLANE STRUCTURE,PART OF,19801230089799I
2500 FT SOD STRIP,STRIP,coreference,19920405008919A
CRASH,ENGINE FAILURE,HAS CAUSE,19840821046409A
ENGINE FAILURE,CRASH,HAS EFFECT,19840821046409A
RPM LOSS,CRUISE FLIGHT,TIME PERIOD,20010421009329I
CFI,SHE,coreference,20010910029739I
NOSE LANDING GEAR,CFI,MAINTAINED BY,20010910029739I
PILOT ERROR,FORCED LANDING,HAS EFFECT,19871027060859A
ENGINE COWLING,COWL,coreference,19980616023109I
ENGINE COWLING,ENGINE,PART OF,19780427013859I
NO LOCKING PINS IN SEAT TRACK,PROBLEM,INSTANCE OF,19910710026989A
IMPROPERLY SECURED VENT CAP,FUEL SIPHONING,HAS EFFECT,19800804037399A
N106DA,AIRCRAFT,INSTANCE OF,19870309039779I
TIEDROPE,PILOT,MAINTAINED BY,19780111000459A
FLY POSITION,TAKEOFF,USED BY,20010411006739I
WOODEN WHEEL CHOCK,NOSE BAGGAGE CARGO,PART OF,19980415037339I
LOGS,LOGS,coreference,19950826026019A
"BEECH 1900D, N81SK",SKYWAY AIRLINE FLIGHT,INSTANCE OF,20000215041409A
WITNESSES,GRASS RUNWAY,LOCATION,19960418007829A
OIL FILLER CAP,PILOT,MAINTAINED BY,20030620012809I
THE PILOT,HE,coreference,19990714022959I
THE PILOT,HIS,coreference,20060621012279A
THE PILOT,HIM,coreference,20060621012279A
HIS,HIM,coreference,20060621012279A
SAME RUNWAY,RUNWAY,coreference,19911222062669I
THE AIRCRAFT,THE AIRCRAFT,coreference,19870309039779I
WATER,FUEL,PART OF,19860706034879A
FROST,AIRFRAME,PART OF,19790211002709A
ROTOR BLADE,VIBRATION,HAS EFFECT,20050504010229A
ROTOR BLADE,SIKORSKY S-70A,PART OF,20050504010229A
SEATS,PASSENGERS,USED BY,19890723054159I
GREEN LIGHT,NOSE LANDING GEAR,PART OF,20010910029739I
TIE DOWN STRAP,LEFT SKID,PART OF,19780916024019A
FUEL CONTAMINATION,FUEL FILTER,PART OF,20040925025079A
HYDRO LOCK,NR5 CYL,PART OF,19961027033759A
BRAKE PROBLEMS,AIRCRAFT,PART OF,19870309039779I
DISPATCHER,PILOT,CONFLICT,19780111000459A
COPPER TUBE,AERIAL BANNERS,USED BY,19870816062719I
